"","GII.Rank","Country","GenIneq","Matmort","AdolBR","ParlPres","SecEduFem","SecEduMal","LabFFem","LabFMal","edu2Ratio","labRatio","HDI.Rank","HumDevIn","LifeExp","ExpEdu","MeanEdu","GNI","GNIRank"
"1",1,"Norway",0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,0.992813141683778,0.890829694323144,1,0.944,81.6,17.5,12.6,"64,992",5
"2",2,"Australia",0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,1.00318133616119,0.818941504178273,2,0.935,82.4,20.2,13,"42,261",17
"3",3,"Switzerland",0.028,6,1.9,28.5,95,96.6,61.8,74.9,1.01684210526316,0.825100133511348,3,0.93,83,15.8,12.8,"56,431",6
"4",4,"Denmark",0.048,5,5.1,38,95.5,96.6,58.7,66.4,1.01151832460733,0.884036144578313,4,0.923,80.2,18.7,12.7,"44,025",11
"5",5,"Netherlands",0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,1.03192702394527,0.828611898016997,5,0.922,81.6,17.9,11.9,"45,435",9
"6",6,"Germany",0.041,7,3.8,36.9,96.3,97,53.6,66.4,1.00726895119418,0.807228915662651,6,0.916,80.9,16.5,13.1,"43,919",11
"7",6,"Ireland",0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,0.97639751552795,0.779735682819383,6,0.916,80.9,18.6,12.2,"39,568",16
"8",8,"United States",0.28,28,31,19.4,95.1,94.8,56.3,68.9,0.996845425867508,0.817126269956459,8,0.915,79.1,16.5,12.9,"52,947",3
"9",9,"Canada",0.129,11,14.5,28.2,100,100,61.6,71,1,0.867605633802817,9,0.913,82,15.9,13,"42,155",11
"10",9,"New Zealand",0.157,8,25.3,31.4,95,95.3,62,73.8,1.00315789473684,0.840108401084011,9,0.913,81.8,19.2,12.5,"32,689",23
"11",11,"Singapore",0.088,6,6,25.3,74.1,81,58.8,77.2,1.09311740890688,0.761658031088083,11,0.912,83,15.4,10.6,"76,628",-7
"12",12,"Hong Kong, China (SAR)",NA,NA,3.3,NA,72.2,79.2,51.3,67.8,1.09695290858726,0.756637168141593,12,0.91,84,15.6,11.2,"53,959",-2
"13",13,"Liechtenstein",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,13,0.908,80,15,11.8,"79,851",-10
"14",14,"Sweden",0.055,4,6.5,43.6,86.5,87.3,60.3,67.9,1.00924855491329,0.888070692194403,14,0.907,82.2,15.8,12.1,"45,636",-1
"15",14,"United Kingdom",0.177,8,25.8,23.5,99.8,99.9,55.7,68.7,1.00100200400802,0.810771470160116,14,0.907,80.7,16.2,13.1,"39,267",9
"16",16,"Iceland",0.087,4,11.5,41.3,91,91.6,70.5,77.4,1.00659340659341,0.910852713178295,16,0.899,82.6,19,10.6,"35,182",12
"17",17,"Korea (Republic of)",0.125,27,2.2,16.3,77,89.1,50.1,72.1,1.15714285714286,0.694868238557559,17,0.898,81.9,16.9,11.9,"33,890",13
"18",18,"Israel",0.101,2,7.8,22.5,84.4,87.3,57.9,69.1,1.03436018957346,0.837916063675832,18,0.894,82.4,16,12.5,"30,676",16
"19",19,"Luxembourg",0.1,11,8.3,28.3,100,100,50.7,64.6,1,0.784829721362229,19,0.892,81.7,13.9,11.7,"58,711",-11
"20",20,"Japan",0.133,6,5.4,11.6,87,85.8,48.8,70.4,0.986206896551724,0.693181818181818,20,0.891,83.5,15.3,11.5,"36,927",7
"21",21,"Belgium",0.063,6,6.7,42.4,77.5,82.9,47.5,59.3,1.06967741935484,0.801011804384486,21,0.89,80.8,16.3,11.3,"41,187",0
"22",22,"France",0.088,12,5.7,25.7,78,83.2,50.7,61.6,1.06666666666667,0.823051948051948,22,0.888,82.2,16,11.1,"38,056",4
"23",23,"Austria",0.053,4,4.1,30.3,100,100,54.6,67.7,1,0.806499261447563,23,0.885,81.4,15.7,10.8,"43,869",-5
"24",24,"Finland",0.075,4,9.2,42.5,100,100,55.7,64,1,0.8703125,24,0.883,80.8,17.1,10.3,"38,695",0
"25",25,"Slovenia",0.016,7,0.6,27.7,95.8,98,52.3,63.2,1.02296450939457,0.82753164556962,25,0.88,80.4,16.8,11.9,"27,852",12
